cohort_gr8,income_measure_key,income_measure_label,income_measure_order,outcome,outcome_key,outcome_label,plot_order,rho,n_students,mean_log_income_4to,mean_attended_va_eb,sd_log_income_4to,sd_attended_va_eb,n_students_with_income_and_rbd,va_match_rate_among_income_rbd
2017,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,0.236646893625691,167892,12.602598092805,-0.0746130555167783,0.79344234405205,0.130916237427821,168324,0.997433521066515
2018,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,0.229184981060183,181669,12.6587213207714,-0.0747859662571731,0.769093827176678,0.131067291707416,182027,0.998033258802266
2019,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,0.232623971796445,182771,12.7324147626132,-0.0749075030921917,0.760443541924033,0.131006110222805,183080,0.998312213240114
2020,direct_or_school_median,Direct income + school median fallback,1,z_year_math_max,math,Math,1,0.235372098220361,186218,12.7935185644043,-0.0739853638178355,0.743956246109204,0.132177042442815,186630,0.997792423511761
2013,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,0.283445862976063,173498,12.685026311553,-0.0804699511118237,0.478711190860901,0.128402496658484,176588,0.982501642240696
2014,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,0.281268568940807,180590,12.6909059944768,-0.0796754052057796,0.484417064207054,0.128780077283946,183167,0.985930871827349
2015,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,0.2891447715926,177157,12.7019801609509,-0.0776963747124389,0.489279086671883,0.129815316805221,179019,0.989598869393751
2016,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,0.283129852337456,177685,12.7050998660887,-0.0768575802819082,0.49227765969258,0.12966474719741,178608,0.994832258353489
2017,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,0.294866378852829,165434,12.7268126907359,-0.0742103446097704,0.50088519877243,0.131289154917731,165848,0.997503738362838
2018,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,0.296508463538936,179328,12.7299025044509,-0.0744259653539374,0.496510306492758,0.131327032677489,179676,0.998063180391371
2019,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,0.302576806864687,180726,12.7318204363876,-0.0745863787534812,0.494172224405909,0.131286052321119,181025,0.99834829443447
2020,school_median_for_everyone,School median for everyone,2,z_year_math_max,math,Math,1,0.302304065555735,184108,12.7378154609967,-0.0736066956871561,0.494187472768167,0.132483588529951,184504,0.997853705068725
2017,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,0.283775840657612,167911,12.6025619932167,-0.0519221769049838,0.793438376493124,0.118224794790409,168324,0.9975463986122
2018,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,0.272929690531293,181690,12.6586476792195,-0.0520163399332442,0.769107997573912,0.118084569350141,182027,0.998148626302691
2019,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,0.277225064943273,182786,12.7324179913633,-0.05191388249898,0.760400383083316,0.118083862802581,183080,0.998394144636224
2020,direct_or_school_median,Direct income + school median fallback,1,z_year_leng_max,language,Language,2,0.280072697430151,186239,12.7934400332472,-0.0517092220520896,0.7440016781301,0.11753997392531,186630,0.997904945614317
2013,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,0.33362443980921,173561,12.6849389178238,-0.0585287091192964,0.478690772989192,0.117129463723389,176588,0.982858404874623
2014,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,0.331131464615987,180650,12.6908108730623,-0.0571729861781463,0.484399229486241,0.117528188727955,183167,0.986258441749879
2015,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,0.340212367282891,177189,12.7019397300589,-0.0552156795633043,0.489261784766095,0.117602202356952,179019,0.989777621369799
2016,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,0.340271792960582,177738,12.704987192426,-0.0541997927344351,0.492297943923696,0.117173688025953,178608,0.995128997581295
2017,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,0.345645449553155,165452,12.7267749958118,-0.0514869160466937,0.500886393357859,0.118476026562371,165848,0.997612271477497
2018,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,0.34369738573464,179348,12.7298495775057,-0.0516449329800217,0.496515630267097,0.1182884675986,179676,0.998174491863131
2019,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,0.346329068238346,180741,12.7317942904024,-0.0515670609152542,0.494166956218028,0.118268810223776,181025,0.998431155917691
2020,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,0.347939044942319,184129,12.7377714133249,-0.0513458671107897,0.494185496110092,0.117734757659778,184504,0.997967523739323
2017,direct_or_school_median,Direct income + school median fallback,1,admission_exam_taker,exam_taking,Exam taking,3,0.280615241883941,168299,12.6012975383922,-0.00756746924143545,0.79378141261894,0.106430008273695,168324,0.999851476913572
2018,direct_or_school_median,Direct income + school median fallback,1,admission_exam_taker,exam_taking,Exam taking,3,0.27007489735284,182014,12.6576602460252,-0.00740847632820265,0.769444838274623,0.105634100516016,182027,0.999928582023546
2019,direct_or_school_median,Direct income + school median fallback,1,admission_exam_taker,exam_taking,Exam taking,3,0.272939069375071,183074,12.7314832299375,-0.00675839927959658,0.76077768211773,0.104922428604185,183080,0.999967227441556
2020,direct_or_school_median,Direct income + school median fallback,1,admission_exam_taker,exam_taking,Exam taking,3,0.274541223218234,186623,12.7925178842998,-0.00820105208677721,0.744171354613347,0.106869287912697,186630,0.999962492632481
2013,school_median_for_everyone,School median for everyone,2,admission_exam_taker,exam_taking,Exam taking,3,0.309550951858061,174607,12.6837161845928,-0.0196208122595554,0.478492415059687,0.11046633202389,176588,0.988781797177611
2014,school_median_for_everyone,School median for everyone,2,admission_exam_taker,exam_taking,Exam taking,3,0.312215405600886,181701,12.6895811091602,-0.0176526578838749,0.484210047044767,0.110145010937295,183167,0.991996374892857
2015,school_median_for_everyone,School median for everyone,2,admission_exam_taker,exam_taking,Exam taking,3,0.315313339713272,178093,12.7008630678016,-0.014479872609489,0.489188108249577,0.109013647339721,179019,0.994827364693133
2016,school_median_for_everyone,School median for everyone,2,admission_exam_taker,exam_taking,Exam taking,3,0.314035602210107,178381,12.7040127541255,-0.0120106597431639,0.49215727516707,0.107862277543187,178608,0.998729060288453
2017,school_median_for_everyone,School median for everyone,2,admission_exam_taker,exam_taking,Exam taking,3,0.313676079273591,165827,12.7259467453958,-0.00677084023224964,0.501110996953584,0.106131387510482,165848,0.999873378032898
2018,school_median_for_everyone,School median for everyone,2,admission_exam_taker,exam_taking,Exam taking,3,0.307936540347308,179665,12.7292641488836,-0.00678359401088455,0.496641862549112,0.105432419054133,179676,0.999938778690532
2019,school_median_for_everyone,School median for everyone,2,admission_exam_taker,exam_taking,Exam taking,3,0.303830716674486,181021,12.7312509131835,-0.00616717250378983,0.494246348531039,0.104691572206215,181025,0.999977903604474
2020,school_median_for_everyone,School median for everyone,2,admission_exam_taker,exam_taking,Exam taking,3,0.305555214589451,184497,12.7371311990699,-0.00759271601251832,0.494190894340083,0.106659772095319,184504,0.999962060443134
2017,direct_or_school_median,Direct income + school median fallback,1,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,0.174675596070322,168299,12.6012975383922,-0.00207313291244755,0.79378141261894,0.0506943339688754,168324,0.999851476913572
2018,direct_or_school_median,Direct income + school median fallback,1,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,0.166553665428499,182014,12.6576602460252,-0.00179115650325495,0.769444838274623,0.0503456564782971,182027,0.999928582023546
2019,direct_or_school_median,Direct income + school median fallback,1,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,0.165924684308983,183074,12.7314832299375,-0.00138804197681702,0.76077768211773,0.0501378471814035,183080,0.999967227441556
2020,direct_or_school_median,Direct income + school median fallback,1,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,0.164191820088433,186623,12.7925178842998,-0.00220864721747734,0.744171354613347,0.0507388324583319,186630,0.999962492632481
2013,school_median_for_everyone,School median for everyone,2,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,0.194262275945759,174607,12.6837161845928,-0.0063557391578964,0.478492415059687,0.0515052922864542,176588,0.988781797177611
2014,school_median_for_everyone,School median for everyone,2,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,0.192132205690198,181701,12.6895811091602,-0.00571079507048733,0.484210047044767,0.051750696382553,183167,0.991996374892857
2015,school_median_for_everyone,School median for everyone,2,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,0.192900409118158,178093,12.7008630678016,-0.00460456962040763,0.489188108249577,0.0514796294565259,179019,0.994827364693133
2016,school_median_for_everyone,School median for everyone,2,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,0.189845954955945,178381,12.7040127541255,-0.00364041628355222,0.49215727516707,0.0511025564808743,178608,0.998729060288453
2017,school_median_for_everyone,School median for everyone,2,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,0.186244518107456,165827,12.7259467453958,-0.00182934906592143,0.501110996953584,0.0505551774645064,165848,0.999873378032898
2018,school_median_for_everyone,School median for everyone,2,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,0.178504147870252,179665,12.7292641488836,-0.00160081281746826,0.496641862549112,0.0502431988469606,179676,0.999938778690532
2019,school_median_for_everyone,School median for everyone,2,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,0.175067667277188,181021,12.7312509131835,-0.00120563325995186,0.494246348531039,0.0500308378174195,181025,0.999977903604474
2020,school_median_for_everyone,School median for everyone,2,higher_ed_enrolled_m1,higher_ed_enrollment,Higher-ed enrollment,4,0.172077302791149,184497,12.7371311990699,-0.00203305337795776,0.494190894340083,0.0506580122355104,184504,0.999962060443134
2017,direct_or_school_median,Direct income + school median fallback,1,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,-0.0538679270201646,167919,12.602561978006,0.00513018450767188,0.793429451056782,0.0640754408299715,168324,0.997593925999857
2018,direct_or_school_median,Direct income + school median fallback,1,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,-0.0628539052414351,181695,12.6586315480728,0.00583724856735754,0.769111892138787,0.0647147649413323,182027,0.998176094755174
2019,direct_or_school_median,Direct income + school median fallback,1,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,-0.0678386250185459,182789,12.7323972460833,0.00592018068691035,0.76042046591896,0.0648296731445455,183080,0.998410530915447
2020,direct_or_school_median,Direct income + school median fallback,1,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,-0.0682614289951102,186244,12.7934393526773,0.00490634914594052,0.743998148321479,0.0630987125587891,186630,0.997931736591116
2013,school_median_for_everyone,School median for everyone,2,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,-0.0658792513358945,173564,12.684938374948,0.00813548544687846,0.478687107968528,0.0674853012135946,176588,0.982875393571477
2014,school_median_for_everyone,School median for everyone,2,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,-0.0621110066324385,180653,12.6908102539773,0.00714167856255933,0.484395662456083,0.0666210110369886,183167,0.986274820246005
2015,school_median_for_everyone,School median for everyone,2,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,-0.0634079071508494,177194,12.7019377311145,0.0065875852654085,0.48925581003089,0.0657005945651147,179019,0.989805551366056
2016,school_median_for_everyone,School median for everyone,2,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,-0.0583755029138799,177745,12.7049876899728,0.00580700891366413,0.492288810761755,0.0648767236621274,178608,0.995168189554779
2017,school_median_for_everyone,School median for everyone,2,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,-0.0615094510288067,165460,12.726762642384,0.00512347045042014,0.500878032501781,0.0641213823577549,165848,0.997660508417346
2018,school_median_for_everyone,School median for everyone,2,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,-0.0698907987107328,179353,12.7298468245538,0.00583237831724239,0.496509745821914,0.0647645532239942,179676,0.998202319731071
2019,school_median_for_everyone,School median for everyone,2,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,-0.0715420498954844,180744,12.7317911297883,0.00593122388390723,0.494163886537604,0.0648774262069964,181025,0.998447728214335
2020,school_median_for_everyone,School median for everyone,2,stem_enrollment_m1,stem_enrollment,STEM enrollment,5,-0.0665957035625571,184134,12.7377685167422,0.00489055770185394,0.494179845560458,0.0631153023902288,184504,0.997994623422798
2017,direct_or_school_median,Direct income + school median fallback,1,log_program_income_clp_m1,program_income,Program income,6,0.154141147419703,167919,12.602561978006,-0.00939447169543684,0.793429451056782,0.0552583628036009,168324,0.997593925999857
2018,direct_or_school_median,Direct income + school median fallback,1,log_program_income_clp_m1,program_income,Program income,6,0.142556262278669,181695,12.6586315480728,-0.00901617509344232,0.769111892138787,0.0552617958361033,182027,0.998176094755174
2019,direct_or_school_median,Direct income + school median fallback,1,log_program_income_clp_m1,program_income,Program income,6,0.138863785207054,182789,12.7323972460833,-0.00875749617532748,0.76042046591896,0.0554296300979294,183080,0.998410530915447
2020,direct_or_school_median,Direct income + school median fallback,1,log_program_income_clp_m1,program_income,Program income,6,0.129928280354024,186244,12.7934393526773,-0.00903660159641724,0.743998148321479,0.0550630260869809,186630,0.997931736591116
2013,school_median_for_everyone,School median for everyone,2,log_program_income_clp_m1,program_income,Program income,6,0.186746546934694,173564,12.684938374948,-0.00901758831914489,0.478687107968528,0.0553705728885861,176588,0.982875393571477
2014,school_median_for_everyone,School median for everyone,2,log_program_income_clp_m1,program_income,Program income,6,0.189845270732669,180653,12.6908102539773,-0.00941035875944834,0.484395662456083,0.055195569138488,183167,0.986274820246005
2015,school_median_for_everyone,School median for everyone,2,log_program_income_clp_m1,program_income,Program income,6,0.194713159590643,177194,12.7019377311145,-0.00918199759214042,0.48925581003089,0.0553289921940565,179019,0.989805551366056
2016,school_median_for_everyone,School median for everyone,2,log_program_income_clp_m1,program_income,Program income,6,0.196568139575085,177745,12.7049876899728,-0.00944940562978062,0.492288810761755,0.0550175888231183,178608,0.995168189554779
2017,school_median_for_everyone,School median for everyone,2,log_program_income_clp_m1,program_income,Program income,6,0.201576263181489,165460,12.726762642384,-0.00917116016726091,0.500878032501781,0.0552567144954867,165848,0.997660508417346
2018,school_median_for_everyone,School median for everyone,2,log_program_income_clp_m1,program_income,Program income,6,0.19344055673303,179353,12.7298468245538,-0.00882242605814442,0.496509745821914,0.0552737256549017,179676,0.998202319731071
2019,school_median_for_everyone,School median for everyone,2,log_program_income_clp_m1,program_income,Program income,6,0.194852625052559,180744,12.7317911297883,-0.00858475033554131,0.494163886537604,0.0554345913209387,181025,0.998447728214335
2020,school_median_for_everyone,School median for everyone,2,log_program_income_clp_m1,program_income,Program income,6,0.190874085716248,184134,12.7377685167422,-0.00886613265859148,0.494179845560458,0.0550773284501365,184504,0.997994623422798
2017,direct_or_school_median,Direct income + school median fallback,1,program_certified_years_m1,program_certified_years,Program-certified years,7,0.02463341434627,167919,12.602561978006,-0.0125377399162014,0.793429451056782,0.104171264319541,168324,0.997593925999857
2018,direct_or_school_median,Direct income + school median fallback,1,program_certified_years_m1,program_certified_years,Program-certified years,7,0.0263118325570427,181695,12.6586315480728,-0.0121360724489144,0.769111892138787,0.104132169158574,182027,0.998176094755174
2019,direct_or_school_median,Direct income + school median fallback,1,program_certified_years_m1,program_certified_years,Program-certified years,7,0.0310497609775057,182789,12.7323972460833,-0.0113083779111473,0.76042046591896,0.104013458204551,183080,0.998410530915447
2020,direct_or_school_median,Direct income + school median fallback,1,program_certified_years_m1,program_certified_years,Program-certified years,7,0.029726619135128,186244,12.7934393526773,-0.00960023944190847,0.743998148321479,0.102744764870129,186630,0.997931736591116
2013,school_median_for_everyone,School median for everyone,2,program_certified_years_m1,program_certified_years,Program-certified years,7,0.0269367077232764,173564,12.684938374948,-0.0158914021271181,0.478687107968528,0.103477828152752,176588,0.982875393571477
2014,school_median_for_everyone,School median for everyone,2,program_certified_years_m1,program_certified_years,Program-certified years,7,0.0231303744500387,180653,12.6908102539773,-0.0148766611082864,0.484395662456083,0.103796042610395,183167,0.986274820246005
2015,school_median_for_everyone,School median for everyone,2,program_certified_years_m1,program_certified_years,Program-certified years,7,0.0231772774475824,177194,12.7019377311145,-0.0141028279010751,0.48925581003089,0.103787157037886,179019,0.989805551366056
2016,school_median_for_everyone,School median for everyone,2,program_certified_years_m1,program_certified_years,Program-certified years,7,0.0208076698119435,177745,12.7049876899728,-0.0132948671285613,0.492288810761755,0.103862035944539,178608,0.995168189554779
2017,school_median_for_everyone,School median for everyone,2,program_certified_years_m1,program_certified_years,Program-certified years,7,0.0278683908657629,165460,12.726762642384,-0.0128058700547696,0.500878032501781,0.104259962397572,165848,0.997660508417346
2018,school_median_for_everyone,School median for everyone,2,program_certified_years_m1,program_certified_years,Program-certified years,7,0.0272944505021672,179353,12.7298468245538,-0.0123841456392424,0.496509745821914,0.104272978640534,179676,0.998202319731071
2019,school_median_for_everyone,School median for everyone,2,program_certified_years_m1,program_certified_years,Program-certified years,7,0.0307243275484427,180744,12.7317911297883,-0.0114755516919781,0.494163886537604,0.104112512692763,181025,0.998447728214335
2020,school_median_for_everyone,School median for everyone,2,program_certified_years_m1,program_certified_years,Program-certified years,7,0.0220304786041007,184134,12.7377685167422,-0.00973018279496462,0.494179845560458,0.102800476405911,184504,0.997994623422798
2017,direct_or_school_median,Direct income + school median fallback,1,inst_certified_years_m1,institutional_quality,Institutional quality,8,-0.0107706498793017,167919,12.602561978006,-0.007470615205242,0.793429451056782,0.213323891126126,168324,0.997593925999857
2018,direct_or_school_median,Direct income + school median fallback,1,inst_certified_years_m1,institutional_quality,Institutional quality,8,-0.012546211422832,181695,12.6586315480728,-0.00612449423159947,0.769111892138787,0.213871235882725,182027,0.998176094755174
2019,direct_or_school_median,Direct income + school median fallback,1,inst_certified_years_m1,institutional_quality,Institutional quality,8,-0.013892557030778,182789,12.7323972460833,-0.00562244316744924,0.76042046591896,0.21445012707013,183080,0.998410530915447
2020,direct_or_school_median,Direct income + school median fallback,1,inst_certified_years_m1,institutional_quality,Institutional quality,8,-0.0165156381820001,186244,12.7934393526773,-0.00677740070982636,0.743998148321479,0.212846425328579,186630,0.997931736591116
2013,school_median_for_everyone,School median for everyone,2,inst_certified_years_m1,institutional_quality,Institutional quality,8,-0.00693011117041761,173564,12.684938374948,-0.0046982813138607,0.478687107968528,0.215209848431309,176588,0.982875393571477
2014,school_median_for_everyone,School median for everyone,2,inst_certified_years_m1,institutional_quality,Institutional quality,8,-0.00618566261256715,180653,12.6908102539773,-0.00623577532008256,0.484395662456083,0.214731372784162,183167,0.986274820246005
2015,school_median_for_everyone,School median for everyone,2,inst_certified_years_m1,institutional_quality,Institutional quality,8,-0.00679903554600898,177194,12.7019377311145,-0.00571112356808477,0.48925581003089,0.21501283591002,179019,0.989805551366056
2016,school_median_for_everyone,School median for everyone,2,inst_certified_years_m1,institutional_quality,Institutional quality,8,-0.00671188930247349,177745,12.7049876899728,-0.00641176399916518,0.492288810761755,0.213785170916138,178608,0.995168189554779
2017,school_median_for_everyone,School median for everyone,2,inst_certified_years_m1,institutional_quality,Institutional quality,8,-0.00909774478147425,165460,12.726762642384,-0.00724173514917397,0.500878032501781,0.213207656707877,165848,0.997660508417346
2018,school_median_for_everyone,School median for everyone,2,inst_certified_years_m1,institutional_quality,Institutional quality,8,-0.0125854634535955,179353,12.7298468245538,-0.00582662903112203,0.496509745821914,0.213820603889484,179676,0.998202319731071
2019,school_median_for_everyone,School median for everyone,2,inst_certified_years_m1,institutional_quality,Institutional quality,8,-0.0121869757375661,180744,12.7317911297883,-0.00543381268916517,0.494163886537604,0.214448294554102,181025,0.998447728214335
2020,school_median_for_everyone,School median for everyone,2,inst_certified_years_m1,institutional_quality,Institutional quality,8,-0.0184006445104931,184134,12.7377685167422,-0.00659987096113032,0.494179845560458,0.212796548480758,184504,0.997994623422798
